matricul	departem	ptvente	sexe	age	sitfamil	anciente	csp	codeqlt	nbimpaye	mtrejet	nbopguic	moycred3	aveparmo	endette	engagemt	engagemc	engagemm	nbcptvue	moysold3	moycredi	agemvt	nbop	mtfactur	engageml	nbvie	mtvie	nbeparmo	mteparmo	nbeparlo	mteparlo	nblivret	mtlivret	nbeparlt	mteparlt	nbeparte	mteparte	nbbon	mtbon	nbpaiecb	nbcb	nbcbptar	avtscpte	aveparfi	cartevp	sexer	cartevpr	nbjdebit
148009	31	1	Shom	51	Fmar	238	Pcad	A	0	0	0	115	701939	4	119216	0	119216	2	35938	114	11	49	206016	0	1	152530	4	701939	2	520145	2	181794	0	0	0	0	0	0	14	2	0	1303700	556967	Coui	0	1	1
442153	82	6	Shom	52	Fmar	270	Pcad	A	0	0	4	19579	8920	0	0	0	0	1	132468	4079	11	50	98500	0	0	0	3	19508920	2	8920	0	0	0	0	0	0	1	19500000	5	2	0	19856243	133896	Coui	0	1	0
552427	97	1	Shom	58	Fmar	139	Pcad	C	0	0	0	40	3402	0	0	0	0	1	1336	40	14	2	3394	0	0	0	1	3402	0	0	1	3402	0	0	0	0	0	0	0	1	0	122745	0	Coui	0	1	0
556005	40	1	Shom	27	Fcel	99	Psan	B	0	0	0	17	76321	0	0	0	0	1	12221	17	11	23	0	0	0	0	3	76321	1	46312	2	30009	0	0	0	0	0	0	14	2	0	83224	0	Coui	0	1	0
556686	65	1	Shom	49	Fsep	89	Pemp	A	0	0	0	374	473350	0	209062	37859	171203	1	21187	208	11	49	0	0	1	21423	5	473350	3	399999	2	73351	0	0	0	0	0	0	11	3	1	494773	21423	Coui	0	1	15
642680	65	1	Shom	64	Fmar	216	Pcad	A	0	0	5	24	78462	0	0	0	0	1	7154	24	11	67	0	0	0	0	4	78462	1	34820	2	9803	1	33839	0	0	0	0	27	1	0	81218	0	Coui	0	1	3
643508	65	1	Shom	38	Fcel	188	Pemp	C	0	0	2	26	0	5	28823	28823	0	1	7122	26	14	36	42649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2	0	14706	0	Coui	0	1	13
808224	31	1	Sfem	46	Fmar	135	Pcad	A	0	0	2	40	96856	0	0	0	0	2	6531	24	11	51	0	0	0	0	2	96856	1	38775	1	58081	0	0	0	0	0	0	27	3	0	105333	0	Coui	1	1	35
941007	31	1	Shom	45	Fmar	393	Pouv	A	0	0	1	55	266391	0	0	0	0	1	83717	38	11	39	20500	0	0	0	2	266391	2	266391	0	0	0	0	0	0	0	0	15	2	0	310878	1452	Coui	0	1	0
981681	31	1	Shom	38	Fcel	63	Pcad	D	0	0	1	32	9597	11	1085892	2190	235100	1	3524	32	18	15	0	848602	2	98154	3	9597	2	9032	1	565	0	0	0	0	0	0	.	0	0	158955	149358	Coui	0	1	31
1231602	31	1	Shom	60	Fmar	321	Pcad	A	0	0	2	47	154268	0	1277	1277	0	1	9994	44	11	80	0	0	0	0	4	154268	1	20246	2	79542	1	54480	0	0	0	0	11	1	0	174968	20200	Coui	0	1	6
1248922	65	2	Shom	34	Fcel	362	Pemp	B	0	0	2	32	48931	20	518657	9699	105008	1	9201	32	11	90	0	403950	0	0	2	48931	2	48931	0	0	0	0	0	0	0	0	40	2	0	48931	0	Coui	0	1	4
1252395	31	2	Shom	56	Fmar	187	Pcad	A	0	0	10	66	222748	0	0	0	0	2	11744	66	11	91	0	0	1	97531	4	222748	2	106657	2	116091	0	0	0	0	0	0	3	2	0	406994	97531	Coui	0	1	0
1343806	31	1	Shom	49	Fmar	209	Pcad	A	0	0	2	91	318781	8	557171	21435	0	1	54858	91	11	37	125672	535736	2	279999	3	318781	2	287229	1	31552	0	0	0	0	0	0	4	2	0	881133	500410	Coui	0	1	0
