"diesel" "turbo" "two.doors" "hatchback" "wheel.base" "length" "width" "height" "curb.weight" "eng.size" "horsepower" "peak.rpm" "price" "symbol" "city.mpg" "highway.mpg"
"alfaromeo" 0 0 1 1 94.5 171.2 65.5 52.4 2823 152 154 5000 16500 1 19 26
"audi" 0 0 0 0 105.8 192.7 71.4 55.7 2844 136 110 5500 17710 1 19 25
"bmw" 0 0 1 0 101.2 176.8 64.8 54.3 2395 108 101 5800 16430 2 23 29
"chevrolet" 0 0 0 0 94.5 158.8 63.6 52 1909 90 70 5400 6575 0 38 43
"dodge1" 0 1 1 1 93.7 157.3 63.8 50.8 2128 98 102 5500 7957 1 24 30
"dodge2" 0 0 0 1 93.7 157.3 63.8 50.6 1967 90 68 5500 6229 1 31 38
"honda1" 0 0 1 1 93.7 150 64 52.6 1956 92 76 6000 7129 1 30 34
"honda2" 0 0 0 0 96.5 175.4 65.2 54.1 2304 110 86 5800 8845 0 27 33
"isuzu" 0 0 0 0 94.3 170.7 61.8 53.5 2337 111 78 4800 6785 0 24 29
"jaguar" 0 0 0 0 113 199.6 69.6 52.8 4066 258 176 4750 35550 0 15 19
"mazda" 0 0 0 0 93.1 166.8 64.2 54.1 1950 91 68 5000 7395 1 31 38
"mercedes" 1 1 0 0 115.6 202.6 71.7 56.3 3770 183 123 4350 31600 -1 22 25
"mercury" 0 1 1 1 102.7 178.4 68 54.8 2910 140 175 5000 16503 1 19 24
"mitsubishi" 0 0 1 1 93.7 157.3 64.4 50.8 1918 92 68 5500 5389 2 37 41
"nissan1" 0 0 0 0 94.5 170.2 63.8 53.5 2024 97 69 5200 7349 1 31 37
"nissan2" 0 0 1 0 94.5 165.3 63.8 54.5 1951 97 69 5200 7299 1 31 37
"plymouth" 0 0 0 1 93.7 157.3 63.8 50.6 1967 90 68 5500 6229 1 31 38
"peugot" 1 1 0 0 114.2 198.9 68.4 58.7 3430 152 95 4150 13860 0 25 25
"porsche" 0 0 1 0 89.5 168.9 65 51.6 2800 194 207 5900 37028 3 17 25
"saab" 0 0 0 0 99.1 186.6 66.5 56.1 2695 121 110 5250 12170 2 21 28
"subaru" 0 0 0 0 97.2 172 65.4 52.5 2190 108 82 4400 7775 0 28 33
"toyota1" 0 0 1 1 95.7 158.7 63.6 54.5 1985 92 62 4800 5348 1 35 39
"toyota2" 1 0 0 0 95.7 166.3 64.4 53 2275 110 56 4500 7898 0 34 36
"toyota3" 0 0 1 1 98.4 176.2 65.6 52 2551 146 116 4800 9989 2 24 30
"toyota4" 1 1 0 0 102.4 175.6 66.5 54.9 2480 110 73 4500 10698 -1 30 33
"volkswagen1" 1 0 1 0 97.3 171.7 65.5 55.7 2261 97 52 4800 7775 2 37 46
"volkswagen2" 0 0 0 0 100.4 180.2 66.9 55.1 2661 136 110 5500 13295 0 19 24
"volvo1" 0 0 0 0 104.3 188.8 67.2 56.2 2912 141 114 5400 12940 -2 23 28
"volvo2" 0 1 0 0 109.1 188.8 68.8 55.5 3049 141 160 5300 19045 -1 19 25
"volvo3" 1 1 0 0 109.1 188.8 68.9 55.5 3217 145 106 4800 22470 -1 26 27
