modele	cylindree	puissance	poids	conso
Maserati_Ghibli_GT	2789	209	1485	14.5
Daihatsu_Cuore		846	32	650	5.7				
Toyota_Corolla		1331	55	1010	7.1
Fort_Escort_1.4i_PT	1390	54	1110	8.6
Mazda_Hachtback_V	2497	122	1330	10.8
Volvo_960_Kombi_aut	2473	125	1570	12.7
Toyota_Previa_salon_	2438	97	1800	12.8
Renault_Safrane_2.2._V	2165	101	1500	11.7
Honda_Civic_Joker_1.4	1396	66	1140	7.7
VW_Golt_2.0_GTI	1984	85	1155	9.5
Suzuki_Swift_1.0_GLS	993	39	790	5.8
Lancia_K_3.0_LS		2958	150	1550	11.9
Mercedes_S_600		5987	300	2250	18.7
Volvo_850_2.5		2435	106	1370	10.8
VW_Polo_1.4_60		1390	44	955	6.5
Hyundai_Sonata_3000	2972	107	1400	11.7
Opel_Corsa_1.2i_Eco_	1195	33	895	6.8
Opel_Astra_1.6i_16V	1597	74	1080	7.4
Peugeot_306_XS_108	1761	74	1100	9
Mitsubishi_Galant	1998	66	1300	7.6
Citroen_ZX_Volcane	1998	89	1140	8.8
Peugeot_806_2.0		1998	89	1560	10.8
Fiat_Panda_Mambo_L	899	29	730	6.1
Seat_Alhambra_2.0	1984	85	1635	11.6
Ford_Fiesta_1.2_Zetec	1242	55	940	6.6
